#Bolivia CRNS
UTC, N1 [cph], N2 [cph], P1 [mb], Batt [V], H7 [%], P4 [mb], T7 [C], NMcounts, fbar, fhum, fsol, CR VWC
2023-01-19 09:46:00, 14674, 7925, 0.0, 12.2, 84.0, 580.9, 0.0, 153.030, 0.984, 1.022, 1.039, 0.278
2023-01-19 08:46:00, 14717, 7984, 0.0, 22.8, 96.0, 581.2, 0.0, 153.030, 0.986, 1.025, 1.039, 0.270
2023-01-19 07:46:00, 14452, 8106, 0.0, 10.1, 97.0, 581.4, 0.0, 153.030, 0.988, 1.025, 1.039, 0.287
2023-01-19 06:46:00, 14577, 8086, 0.0, 11.5, 96.0, 581.7, 0.0, 153.030, 0.990, 1.025, 1.039, 0.275
2023-01-19 05:46:00, 14890, 7884, 0.0, 6.4, 96.0, 582.0, 0.0, 153.030, 0.992, 1.025, 1.039, 0.252
2023-01-19 04:46:00, 14890, 7644, 0.0, 12.8, 94.0, 582.6, 0.0, 153.030, 0.997, 1.025, 1.039, 0.247
2023-01-19 03:46:00, 14878, 7537, 0.0, 12.8, 96.0, 582.5, 0.0, 153.030, 0.996, 1.025, 1.039, 0.249
2023-01-19 02:46:00, 14935, 7547, 0.0, 12.9, 80.0, 582.9, 2.0, 153.030, 0.999, 1.024, 1.039, 0.243
2023-01-19 01:46:00, 15098, 7452, 0.0, 12.9, 65.0, 582.2, 4.0, 153.030, 0.994, 1.022, 1.039, 0.240
2023-01-19 00:46:00, 15190, 7476, 0.0, 12.9, 57.0, 581.9, 4.0, 153.030, 0.992, 1.020, 1.039, 0.238
2023-01-18 23:46:00, 15605, 7678, 0.0, 13.0, 55.0, 581.6, 4.0, 153.030, 0.989, 1.019, 1.039, 0.217
2023-01-18 22:47:00, 15497, 7643, 0.0, 13.1, 52.0, 581.6, 5.0, 152.960, 0.989, 1.019, 1.039, 0.223
2023-01-18 21:46:00, 15839, 7593, 0.0, 14.1, 50.0, 581.6, 7.0, 152.852, 0.989, 1.021, 1.040, 0.203
2023-01-18 20:46:00, 15507, 7566, 0.0, 14.1, 46.0, 581.6, 8.0, 152.637, 0.989, 1.021, 1.042, 0.219
2023-01-18 19:46:00, 15230, 7565, 0.0, 14.1, 49.0, 581.9, 8.0, 152.771, 0.992, 1.022, 1.041, 0.232
2023-01-18 18:46:00, 15412, 7605, 0.0, 14.1, 45.0, 582.1, 8.0, 153.630, 0.993, 1.020, 1.035, 0.227
2023-01-18 17:46:00, 15376, 7707, 0.0, 14.1, 58.0, 582.6, 6.0, 154.387, 0.997, 1.023, 1.030, 0.227
2023-01-18 16:46:00, 15317, 7506, 0.0, 14.1, 58.0, 582.6, 8.0, 154.629, 0.997, 1.026, 1.028, 0.230
2023-01-18 15:46:00, 15319, 7547, 0.0, 14.6, 48.0, 582.8, 8.0, 155.955, 0.998, 1.021, 1.019, 0.241
2023-01-18 14:46:00, 15303, 7643, 0.0, 14.6, 59.0, 582.9, 6.0, 156.413, 0.999, 1.023, 1.016, 0.242
